Symbol,Market_Cap,EBITDA_Margin,ROA,Debt_Equity,Sector,Sub_Industry
MMM,72980520960,0.22258,0.05929,350.77,Industrials,Conglomerates
AOS,9167196160,0.20364,0.13533,12.132,Industrials,Specialty Industrial Machinery
AFL,58980765696,0.35156,0.03384,37.796,Financial Services,Insurance - Life
ABNB,71230423040,0.23275,0.07671,27.271,Consumer Cyclical,Travel Services
ARE,13684294656,0.62756,0.0141900005,56.93,Real Estate,REIT - Office
ALLE,10958880768,0.23774,0.11255,143.313,Industrials,Security & Protection Services
ALL,51558154240,0.10572,0.03618,38.943,Financial Services,Insurance - Property & Casualty
AMZN,1905880858624,0.18882999,0.07438,54.342,Consumer Cyclical,Internet Retail
AXP,180840808448,0.0,0.038039997,183.33,Financial Services,Credit Services
AIG,47846035456,0.28952998,0.00754,23.008,Financial Services,Insurance - Diversified
AMT,102070788096,0.65540004,0.04532,455.544,Real Estate,REIT - Specialty
AMP,45621833728,0.0,0.02264,70.39,Financial Services,Asset Management
AME,36967981056,0.31154,0.07501,24.075,Industrials,Specialty Industrial Machinery
AON,81885978624,0.32329,0.06616,278.258,Financial Services,Insurance Brokers
APA,5385177088,0.59428,0.07467,100.865,Energy,Oil & Gas E&P
APO,72913043456,0.0,0.01844,103.066,Financial Services,Asset Management
APTV,11648973824,0.15558,0.05511,97.832,Consumer Cyclical,Auto Parts
ACGL,34738700288,0.27844,0.044499997,13.886,Financial Services,Insurance - Diversified
AJG,85827223552,0.33216,0.030280001,67.281,Financial Services,Insurance Brokers
AIZ,9860233216,0.106350005,0.01893,42.013,Financial Services,Insurance - Property & Casualty
ADP,121271967744,0.29439,0.054569997,86.202,Technology,Software - Application
AZO,60849680384,0.23138,0.13438,,Consumer Cyclical,Auto Parts
AVB,28556371968,0.61168,0.02898,69.094,Real Estate,REIT - Residential
AXON,44920967168,0.060149997,0.012180001,31.41,Industrials,Aerospace & Defense
BKR,37791756288,0.16525999,0.05748,39.261,Energy,Oil & Gas Equipment & Services
BAC,288982433792,0.0,0.00842,,Financial Services,Banks - Diversified
BRK-B,1138978848768,0.34082,0.063930005,20.066,Financial Services,Insurance - Diversified
BBY,12923161600,0.06261,0.072859995,144.836,Consumer Cyclical,Specialty Retail
BLK,137803710464,0.40258998,,28.816,Financial Services,Asset Management
BX,162739847168,0.0,0.12985,68.543,Financial Services,Asset Management
BK,55646453760,0.0,0.01082,,Financial Services,Banks - Diversified
BA,116999430144,-0.12302,-0.04269,,Industrials,Aerospace & Defense
BKNG,151358144512,0.34458,0.18225001,,Consumer Cyclical,Travel Services
BR,27589570560,0.24535999,0.08861,173.54,Technology,Information Technology Services
BRO,34262079488,0.33870998,0.052849997,63.073,Financial Services,Insurance Brokers
BLDR,13432274944,0.13153,0.09458,100.846,Industrials,Building Products & Equipment
BXP,11218339840,0.56108004,0.02421,213.956,Real Estate,REIT - Office
CHRW,10824863744,0.04305,0.08492,101.108,Industrials,Integrated Freight & Logistics
CZR,5315165696,0.32005,0.043119997,589.077,Consumer Cyclical,Resorts & Casinos
CPT,12115856384,0.56815,0.020680001,73.492,Real Estate,REIT - Residential
COF,62629113856,0.0,0.0098,,Financial Services,Credit Services
KMX,10338233344,0.03842,0.01806,311.168,Consumer Cyclical,Auto & Truck Dealerships
CCL,24387481600,0.25106,0.048130002,309.246,Consumer Cyclical,Travel Services
CARR,52236709888,0.15841,0.04147,89.232,Industrials,Building Products & Equipment
CAT,140230033408,0.24142,0.09675,200.118,Industrials,Farm & Heavy Construction Machinery
CBOE,22810462208,0.31884,0.09678,37.37,Financial Services,Financial Data & Stock Exchanges
CBRE,35593023488,0.06014,0.03862,63.74,Real Estate,Real Estate Services
SCHW,140189024256,0.0,0.012209999,121.987,Financial Services,Capital Markets
CVX,234986242048,0.20495,0.056160003,19.334,Energy,Oil & Gas Integrated
CMG,66154147840,0.20226999,0.14156,124.212,Consumer Cyclical,Restaurants
CB,114147139584,0.21141,0.0301,30.289,Financial Services,Insurance - Property & Casualty
CINF,20874811392,0.26824,0.052529998,6.279,Financial Services,Insurance - Property & Casualty
CTAS,84068450304,0.26267,0.15531999,58.617,Industrials,Specialty Business Services
C,121060532224,0.0,0.0053899996,,Financial Services,Banks - Diversified
CFG,15780537344,0.0,0.0068699997,,Financial Services,Banks - Regional
CME,94733877248,0.69825,0.01842,14.428,Financial Services,Financial Data & Stock Exchanges
COP,108364652544,0.43061,0.08403,39.12,Energy,Oil & Gas E&P
CPRT,58400321536,0.40605,0.12133,1.434,Industrials,Specialty Business Services
CPAY,21994332160,0.53006,0.06565,257.164,Technology,Software - Infrastructure
CSGP,33956141056,0.055409998,0.00032000002,14.928,Real Estate,Real Estate Services
CTRA,19346911232,0.61518,0.04121,28.957,Energy,Oil & Gas E&P
CCI,43758940160,0.6049,0.03994,,Real Estate,REIT - Specialty
CSX,52584521728,0.48652,0.07967,153.394,Industrials,Railroads
CMI,39581827072,0.14199,0.07453,67.978,Industrials,Specialty Industrial Machinery
DRI,23351367680,0.15773,0.07198,357.83,Consumer Cyclical,Restaurants
DAY,8829436928,0.13653,0.00698,48.419,Technology,Software - Application
DECK,15808780288,0.24905,0.19806999,9.77,Consumer Cyclical,Footwear & Accessories
DE,125200572416,0.21066,0.0496,289.674,Industrials,Farm & Heavy Construction Machinery
DAL,26653622272,0.12836,0.04735,151.356,Industrials,Airlines
DVN,18512973824,0.48705003,0.093100004,62.949,Energy,Oil & Gas E&P
FANG,37389713408,0.73203003,0.06336,32.861,Energy,Oil & Gas E&P
DLR,50126213120,0.44414002,0.0089,79.457,Real Estate,REIT - Specialty
DFS,40261832704,0.0,0.030299999,90.673,Financial Services,Credit Services
DPZ,16070202368,0.19865999,0.32209,,Consumer Cyclical,Restaurants
DASH,76268429312,0.027509999,0.00274,6.863,Communication Services,Internet Content & Information
DOV,22378113024,0.21028,0.06764,45.486,Industrials,Specialty Industrial Machinery
DHI,38451355648,0.16555999,0.10932,20.28,Consumer Cyclical,Residential Construction
ETN,108555272192,0.22486,0.07605,53.883,Industrials,Specialty Industrial Machinery
EBAY,30523000832,0.25070998,0.06874,152.443,Consumer Cyclical,Internet Retail
EMR,56629661696,0.26934,0.04448,31.298,Industrials,Specialty Industrial Machinery
EOG,59296497664,0.53518003,0.1112,19.734,Energy,Oil & Gas E&P
EQT,30323120128,0.49716,0.00661,38.82,Energy,Oil & Gas E&P
EFX,28153405440,0.30934,0.05599,105.039,Industrials,Consulting Services
EQIX,77030932480,0.4149,0.02971,139.913,Real Estate,REIT - Specialty
EQR,26229549056,0.61267,0.026659999,72.742,Real Estate,REIT - Residential
ERIE,21947117568,0.20193,0.16552,0.378,Financial Services,Insurance Brokers
ESS,18860486656,0.63421,0.02846,115.698,Real Estate,REIT - Residential
EG,14923117568,0.0,0.01856,26.76,Financial Services,Insurance - Reinsurance
EXE,24254322688,0.27941,-0.014249999,33.163,Energy,Oil & Gas E&P
EXPE,19533432832,0.13374,0.04724,235.584,Consumer Cyclical,Travel Services
EXPD,15149136896,0.103999995,0.14029,25.561,Industrials,Integrated Freight & Logistics
EXR,30622218240,0.677,0.032899998,88.633,Real Estate,REIT - Industrial
XOM,445829251072,0.18878001,0.062459998,17.852,Energy,Oil & Gas Integrated
FDS,16568462336,0.37817,0.10808,80.856,Financial Services,Financial Data & Stock Exchanges
FAST,46835425280,0.22219,0.20121,13.435,Industrials,Industrial Distribution
FRT,7974513152,0.62272,0.031059999,133.197,Real Estate,REIT - Retail
FDX,49683251200,0.12517,0.04879,,Industrials,Integrated Freight & Logistics
FIS,37118164992,0.26908,0.026889998,73.51,Technology,Information Technology Services
FITB,23307907072,0.0,0.010829999,,Financial Services,Banks - Regional
FI,118886891520,0.4387,0.043730002,92.502,Technology,Information Technology Services
F,37618163712,0.05982,0.01164,358.603,Consumer Cyclical,Auto Manufacturers
FTV,22387679232,0.27068,0.04211,38.025,Technology,Scientific & Technical Instruments
BEN,9449283584,0.19665001,0.02474,24.264,Financial Services,Asset Management
GRMN,37003137024,0.28168,0.10927,2.074,Technology,Scientific & Technical Instruments
GE,197989236736,0.23101999,0.03271,104.155,Industrials,Aerospace & Defense
GEV,89807822848,0.06627,0.01602,10.016,Utilities,Utilities - Renewable
GNRC,6738766848,0.16493,0.06576,55.765,Industrials,Specialty Industrial Machinery
GD,74418307072,0.11721,0.05386,48.389,Industrials,Aerospace & Defense
GM,44327337984,0.099709995,0.02876,199.645,Consumer Cyclical,Auto Manufacturers
GPC,15862782976,0.08312,0.051810004,139.849,Consumer Cyclical,Auto Parts
GPN,20997810176,0.43562,0.03258,74.632,Industrials,Specialty Business Services
GL,10222216192,0.26,0.032279998,58.649,Financial Services,Insurance - Life
GS,157865787392,0.0,0.00861,611.106,Financial Services,Capital Markets
HAL,18317096960,0.21813999,0.09762,83.163,Energy,Oil & Gas Equipment & Services
HIG,33448294400,0.16275999,0.0323,27.427,Financial Services,Insurance - Property & Casualty
HAS,7355213824,0.22067,0.07274,297.468,Consumer Cyclical,Leisure
DOC,13109152768,0.53924,0.01613,99.621,Real Estate,REIT - Healthcare Facilities
HES,39341142016,0.57708,0.11536,78.814,Energy,Oil & Gas E&P
HLT,50620854272,0.52696997,0.092209995,,Consumer Cyclical,Lodging
HD,351989661696,0.15853,0.15585,950.075,Consumer Cyclical,Home Improvement Retail
HON,127885926400,0.2477,0.074990004,168.18,Industrials,Conglomerates
HST,9548754944,0.2706,0.03845,83.267,Real Estate,REIT - Hotel & Motel
HWM,50417266688,0.25357,0.0959,76.219,Industrials,Aerospace & Defense
HUBB,18567469056,0.23326,0.101560004,52.384,Industrials,Electrical Equipment & Parts
HBAN,19574048768,0.0,0.0099599995,,Financial Services,Banks - Regional
HII,8552576000,0.08590999,0.03559,74.132,Industrials,Aerospace & Defense
IEX,12650614784,0.26964,0.06996,55.03,Industrials,Specialty Industrial Machinery
ITW,67911299072,0.29525998,0.17541,243.533,Industrials,Specialty Industrial Machinery
IR,29348472832,0.26763,0.05415,48.61,Industrials,Specialty Industrial Machinery
ICE,91862220800,0.60729,0.020079998,74.82,Financial Services,Financial Data & Stock Exchanges
IVZ,5857694720,0.19974001,0.02306,8.587,Financial Services,Asset Management
INVH,20209815552,0.55115,0.02352,84.073,Real Estate,REIT - Residential
IRM,24464220160,0.33207,0.041890003,,Real Estate,REIT - Specialty
JBHT,13512081408,0.13174,0.061479997,44.583,Industrials,Integrated Freight & Logistics
JKHY,12680554496,0.25384,0.112959996,10.412,Technology,Information Technology Services
J,14396469248,0.10695,0.04547,60.421,Industrials,Engineering & Construction
JCI,51880321024,0.14429,0.03691,65.324,Industrials,Building Products & Equipment
JPM,647780368384,0.0,0.01413,,Financial Services,Banks - Diversified
KEY,15603051520,0.0,-0.00087,,Financial Services,Banks - Regional
KIM,13790432256,0.60457003,0.021300001,79.317,Real Estate,REIT - Retail
KMI,60484202496,0.43907002,0.03812,101.669,Energy,Oil & Gas Midstream
KKR,96130056192,0.0,0.01449,82.822,Financial Services,Asset Management
LHX,41511514112,0.18415001,0.0394,66.296,Industrials,Aerospace & Defense
LVS,23092602880,0.33298,0.07221,441.139,Consumer Cyclical,Resorts & Casinos
LDOS,18123048960,0.12634,0.08794,121.39,Technology,Information Technology Services
LEN,27553611776,0.13937001,0.08224,16.9,Consumer Cyclical,Residential Construction
LII,19768637440,0.21139,0.20614,175.088,Industrials,Building Products & Equipment
LKQ,10763560960,0.12212,0.05606,93.004,Consumer Cyclical,Auto Parts
LMT,110164860928,0.118149996,0.08306,338.197,Industrials,Aerospace & Defense
L,18123067392,0.16219,0.01751,52.127,Financial Services,Insurance - Property & Casualty
LOW,123337039872,0.15076,0.1567,,Consumer Cyclical,Home Improvement Retail
LULU,30839642112,0.27882,0.21314,36.443,Consumer Cyclical,Apparel Retail
MTB,25953052672,0.0,0.01243,,Financial Services,Banks - Regional
MPC,38072205312,0.06527,0.04366,117.351,Energy,Oil & Gas Refining & Marketing
MKTX,8442522624,0.50751996,0.111999996,5.238,Financial Services,Capital Markets
