Symbol,Market_Cap,EBITDA_Margin,ROA,Debt_Equity,Sector,Sub_Industry,Regulatory_Risk,Contract_Risk,Debt_Risk,Execution_Complexity,IP_Dependence,Carveout_Flag
AAL,6253548032,0.10358,0.03374,,Industrials,Airlines,2,2,3,0,0,0
AACG,28641250,-0.07856,-0.0594,44.204,Consumer Defensive,Education & Training Services,3,2,3,0,0,0
AAON,6539561472,0.22781,0.124469995,8.581,Industrials,Building Products & Equipment,2,2,3,0,0,0
AAME,27543106,-0.00786,-0.00298,43.287,Financial Services,Insurance - Life,3,2,3,0,0,0
AAOI,588927680,-0.20155,-0.09467,83.304,Technology,Communication Equipment,2,2,3,0,0,0
AAPG,1541078912,-0.30554,-0.09251001,608.581,Healthcare,Biotechnology,4,2,3,0,0,0
AAPL,2860508250112,0.34706002,0.22518998,145.0,Technology,Consumer Electronics,2,1,3,0,0,0
AARD,152305216,0.0,,1.077,Healthcare,Biotechnology,4,2,1,0,0,0
ABAT,81898152,0.0,-0.31252,14.908,Basic Materials,Other Industrial Metals & Mining,3,2,3,0,0,0
ABCL,616835136,0.0,-0.12408,6.189,Healthcare,Biotechnology,4,2,3,0,0,0
ABEO,202871280,0.0,-0.46412998,52.345,Healthcare,Biotechnology,4,2,3,0,0,0
ABL,690561920,0.16223,0.010620001,91.169,Financial Services,Insurance - Life,3,2,3,0,0,0
ABNB,70776848384,0.23275,0.07671,27.271,Consumer Cyclical,Travel Services,3,2,3,0,0,0
ABLV,45438708,-0.01931,-0.03161,431.384,Communication Services,Advertising Agencies,3,2,3,0,0,0
ABOS,61784868,0.0,-0.25955,16.336,Healthcare,Biotechnology,4,2,3,0,0,0
ABP,13604646,0.0,-0.33513,,Healthcare,Biotechnology,4,2,3,0,0,0
ABTS,4219134,0.25571,-0.0777,,Financial Services,Capital Markets,3,2,3,0,0,0
ABSI,312651616,0.0,-0.31181,5.641,Healthcare,Biotechnology,4,2,3,0,0,0
ABUS,597417600,0.0,-0.33363,6.284,Healthcare,Biotechnology,4,2,3,0,0,0
ABVC,24877124,0.0,-0.25302,34.405,Healthcare,Biotechnology,4,2,3,0,0,0
ABVE,13024500,-0.0998,-0.15508,,Consumer Defensive,Packaged Foods,3,2,3,0,0,0
ACAD,2353392640,0.10458,0.0544,7.095,Healthcare,Biotechnology,4,2,3,0,0,0
ACB,225573664,0.19247,0.02785,16.49,Healthcare,Drug Manufacturers - Specialty & Generic,4,2,3,0,0,0
ACCD,575591616,-0.10661,-0.07501,76.004,Healthcare,Health Information Services,4,2,3,0,0,0
ACET,36968824,0.0,-0.37313,9.235,Healthcare,Biotechnology,4,2,3,0,0,0
ACDC,738420608,0.21804,0.00732,111.627,Energy,Oil & Gas Equipment & Services,4,2,3,0,0,0
ACHV,72491856,0.0,-0.84195,47.648,Healthcare,Biotechnology,4,2,3,0,0,0
ACHC,2516083968,0.21302,0.057690002,65.691,Healthcare,Medical Care Facilities,4,2,3,0,0,0
ACIC,521248704,0.40494,0.06122,46.73,Financial Services,Insurance - Property & Casualty,3,2,3,0,0,0
ACNB,408424224,0.0,0.01323,,Financial Services,Banks - Regional,3,2,3,0,0,0
ACLS,1455215872,0.21595,0.100159995,7.254,Technology,Semiconductor Equipment & Materials,2,2,3,0,0,0
ACNT,126989104,0.0166,-0.018,35.566,Basic Materials,Steel,3,2,3,0,0,0
ACON,4993560,0.0,-1.27692,,Healthcare,Health Information Services,4,2,3,0,0,0
ACT,5274462720,0.0,0.0929,15.084,Financial Services,Insurance - Specialty,3,2,3,0,0,0
ACRV,47967796,0.0,-0.33298,2.062,Healthcare,Biotechnology,4,2,2,0,0,0
ACRS,116799848,-2.78953,-0.15718001,1.67,Healthcare,Diagnostics & Research,4,2,1,0,0,0
ACXP,7395259,0.0,-1.52406,,Healthcare,Biotechnology,4,2,3,0,0,0
ACTG,272884224,0.04282,-0.02637,22.498,Industrials,Business Equipment & Supplies,2,2,3,0,0,0
ADAG,69722208,0.0,-0.21922001,36.604,Healthcare,Biotechnology,4,2,3,0,0,0
ADBE,149191311360,0.3932,0.17194,50.118,Technology,Software - Application,2,3,3,0,1,0
ADAP,55304880,-0.23132999,-0.12394,626.289,Healthcare,Biotechnology,4,2,3,0,0,0
ADD,534917,0.0,-0.58576,9.93,Communication Services,Entertainment,3,2,3,0,0,0
ADEA,1280735488,0.57188,0.080699995,122.404,Technology,Software - Application,2,3,3,0,1,0
ADGM,12054822,0.0,-0.79058,81.684,Healthcare,Medical Devices,4,2,3,0,0,0
ADIL,4701489,0.0,-1.05879,,Healthcare,Biotechnology,4,2,3,0,0,0
ADI,88462278656,0.44028,0.02616,21.725,Technology,Semiconductors,2,2,3,0,0,0
ADMA,4438648320,0.34477,0.21242,23.528,Healthcare,Biotechnology,4,2,3,0,0,0
ADN,8885038,0.0,-1.00536,,Industrials,Electrical Equipment & Parts,2,2,3,0,0,0
ADSE,643821760,-0.15943,-0.13458,,Industrials,Electrical Equipment & Parts,2,2,3,0,0,0
ADP,118891773952,0.29439,0.054569997,86.202,Technology,Software - Application,2,3,3,0,1,0
ADPT,1147795968,-0.76045,-0.16174999,109.967,Healthcare,Biotechnology,4,2,3,0,0,0
ADTN,602913472,0.0054699997,-0.03753,39.948,Technology,Communication Equipment,2,2,3,0,0,0
ADSK,54723960832,0.23372999,0.08382,97.634,Technology,Software - Application,2,3,3,0,1,0
ADUS,1849456000,0.11517999,0.06127,28.143,Healthcare,Medical Care Facilities,4,2,3,0,0,0
ADV,411403488,0.08469,0.0177,232.113,Communication Services,Advertising Agencies,3,2,3,0,0,0
ADVB,38952000,0.0,-0.36723998,121.044,Healthcare,Diagnostics & Research,4,2,3,0,0,0
ADXN,7681398,0.0,-0.75641996,0.396,Healthcare,Biotechnology,4,2,1,0,0,0
ADVM,69272320,0.0,-0.29826,50.836,Healthcare,Biotechnology,4,2,3,0,0,0
AEHL,2532259,-0.18857999,-0.35314998,36.83,Industrials,Building Products & Equipment,2,2,3,0,0,0
AEIS,3285285888,0.09267,0.01787,55.827,Industrials,Electrical Equipment & Parts,2,2,3,0,0,0
AEI,8741592,-0.060149997,-0.0139999995,3.279,Real Estate,Real Estate - Development,3,2,2,0,0,0
AENT,150774704,0.0229,0.028900001,110.072,Communication Services,Entertainment,3,2,3,0,0,0
AEP,55107559424,0.39671,0.02861,170.451,Utilities,Utilities - Regulated Electric,3,2,3,0,0,0
AEMD,7023414,0.0,-0.72472,16.724,Healthcare,Medical Devices,4,2,3,0,0,0
AERT,26734802,-0.29884002,-0.29025,2794.385,Industrials,Consulting Services,2,2,3,0,0,0
AEYE,135668624,-0.05554,-0.06293,76.696,Technology,Software - Application,2,3,3,0,1,0
AEVA,410899904,0.0,-0.45345002,3.784,Technology,Software - Infrastructure,2,3,2,0,1,0
AFBI,111778272,0.0,0.00636,,Financial Services,Banks - Regional,3,2,3,0,0,0
AFMD,10261580,0.0,-0.49424,74.958,Healthcare,Biotechnology,4,2,3,0,0,0
AFJK,67155376,0.0,-0.00922,,Financial Services,Shell Companies,3,2,3,0,0,0
AFRI,231698704,0.02784,0.0076,1087.934,Consumer Defensive,Farm Products,3,2,3,0,0,0
AFRM,13040751616,-0.03711,-0.02343,269.105,Technology,Software - Infrastructure,2,3,3,0,1,0
AFYA,1586899072,0.36861,0.07721,73.621,Consumer Defensive,Education & Training Services,3,2,3,0,0,0
AGAE,38813280,-1.01569,-0.06236,51.142,Communication Services,Entertainment,3,2,3,0,0,0
AGEN,41000256,-1.0736799,-0.28792998,,Healthcare,Biotechnology,4,2,3,0,0,0
AGH,8619480,0.0057800002,-0.022839999,299.607,Consumer Cyclical,Leisure,3,2,3,0,0,0
AGFY,35605028,-1.11694,-0.154,39.307,Industrials,Farm & Heavy Construction Machinery,2,2,3,0,0,0
AGIO,1450166784,0.0,-0.20466,3.698,Healthcare,Biotechnology,4,2,2,0,0,0
AGMH,1276246,-0.69592005,-0.27622,226.698,Technology,Computer Hardware,2,2,3,0,0,0
AGNC,7433567744,0.0,0.01081,624.421,Real Estate,REIT - Mortgage,3,2,3,0,0,0
